,loss
0,1.0604326
1,1.5367801
2,1.2544895
3,1.5577779
4,0.97705257
5,2.567086
6,2.0940232
7,2.3632448
8,3.3170369
9,3.376156
10,3.7262
11,4.3994656
12,3.9579048
13,3.913002
14,4.066732
15,3.5965884
16,3.6591377
17,3.2608101
18,3.6849887
19,3.5790176
20,3.9320958
21,3.6725698
22,3.5071142
23,3.366819
24,3.291872
25,3.1963146
26,3.158021
27,3.0091622
28,3.0946643
29,3.1293783
30,3.0917056
31,2.8322742
32,2.905402
33,2.9007719
34,2.7679524
35,2.7393048
36,2.8395455
37,2.858096
38,2.7004426
39,2.728315
40,2.6042855
41,2.526087
42,2.433385
43,2.4915001
44,2.6299632
45,2.450058
46,2.3674562
47,2.329242
48,2.397699
49,2.2999828
50,2.2141128
51,2.2395086
52,2.1856196
53,2.1595955
54,2.044919
55,2.0260868
56,2.1560507
57,2.0298808
58,2.0598161
59,2.0032053
60,1.9313892
61,1.9720037
62,1.9481173
63,1.9220113
64,1.8835915
65,1.8093125
66,1.7726839
67,1.7850944
68,1.7786562
69,1.690389
70,1.7363051
71,1.6735036
72,1.6785653
73,1.711047
74,1.6762204
75,1.5846697
76,1.6026644
77,1.5898685
78,1.594644
79,1.6105949
80,1.6184475
81,1.6108025
82,1.608341
83,1.6278373
84,1.5761489
85,1.5719054
86,1.5508134
87,1.5024133
88,1.4932284
89,1.4985214
90,1.4686872
91,1.4685687
92,1.4690145
93,1.4816877
94,1.4810443
95,1.4768234
96,1.4756523
97,1.473725
98,1.443341
99,1.4564388
100,1.413413
101,1.4389935
102,1.3876619
103,1.3818634
104,1.3683462
105,1.3552175
106,1.3335705
107,1.3933913
108,1.3739132
109,1.3747616
110,1.3498759
111,1.3575666
112,1.3339082
113,1.3148854
114,1.3015234
115,1.3126653
116,1.3223346
117,1.3147545
118,1.3416985
119,1.2747835
120,1.3244089
121,1.2981504
122,1.3346975
123,1.2911692
124,1.281264
125,1.304322
126,1.2893815
127,1.2578577
128,1.2369573
129,1.2371852
130,1.2496959
131,1.2429208
132,1.2278174
133,1.2465204
134,1.2267842
135,1.2357545
136,1.2246444
137,1.2750196
138,1.2450029
139,1.2164282
140,1.2409282
141,1.2316579
142,1.2130563
143,1.216853
144,1.2301931
145,1.178359
146,1.1986989
147,1.213017
148,1.1964726
149,1.2083642
150,1.1883887
151,1.2050854
152,1.1862103
153,1.2093036
154,1.217028
155,1.1920784
156,1.2041103
157,1.1871955
158,1.1608108
159,1.1761537
160,1.1820655
161,1.1537982
162,1.1500964
163,1.1792779
164,1.1958175
165,1.1776744
166,1.1817368
167,1.141234
168,1.1703047
169,1.143437
170,1.1835651
171,1.1566403
172,1.1460584
173,1.15672
174,1.1558443
175,1.1659044
176,1.172845
177,1.1598136
178,1.138411
179,1.1517643
180,1.1297144
181,1.1209258
182,1.1375128
183,1.1544863
184,1.134287
185,1.1523933
186,1.162845
187,1.1262974
188,1.1181604
189,1.1326759
190,1.1363508
191,1.1268027
192,1.133475
193,1.1331022
194,1.1147099
195,1.116299
196,1.1030343
197,1.110785
198,1.1239921
199,1.1045735
200,1.1384453
201,1.1280735
202,1.1355904
203,1.1102744
204,1.1123211
205,1.1190121
206,1.1217952
207,1.11248
208,1.11651
209,1.1168336
210,1.1219227
211,1.1312621
212,1.1229992
213,1.1116916
214,1.0900937
215,1.128144
216,1.1087039
217,1.1110092
218,1.1019872
219,1.0962433
220,1.1155077
221,1.1113402
222,1.1061796
223,1.1168728
224,1.109513
225,1.094882
226,1.0954477
227,1.1425284
228,1.1255996
229,1.1031548
230,1.1044149
231,1.1096526
232,1.1099119
233,1.1114608
234,1.1250662
235,1.1038706
236,1.0818871
237,1.0917318
238,1.1054568
239,1.0958732
240,1.0909758
241,1.0788748
242,1.0991645
243,1.0891662
244,1.0864291
245,1.0884063
246,1.0963814
247,1.0792944
248,1.1076565
249,1.087203
250,1.0880724
251,1.0937796
252,1.1124457
253,1.0955857
254,1.1065545
255,1.0909054
256,1.1156934
257,1.0978822
258,1.1170107
259,1.11581
260,1.1181091
261,1.1009077
262,1.083507
263,1.1018345
264,1.1020948
265,1.0904658
266,1.0685868
267,1.0880136
268,1.1118661
269,1.1071601
270,1.0993382
271,1.0933428
272,1.1047088
273,1.0924412
274,1.1021171
275,1.1024686
276,1.098891
277,1.0899614
278,1.0918839
279,1.0944704
280,1.0942888
281,1.1027706
282,1.1058338
283,1.1007318
284,1.0895262
285,1.090425
286,1.0977248
287,1.1082628
288,1.0796889
289,1.073168
290,1.0735524
291,1.0739741
292,1.0712926
293,1.099743
294,1.1122574
295,1.0979283
296,1.088827
297,1.0830274
298,1.0917742
299,1.0998132
300,1.1081452
301,1.0783134
302,1.1053329
303,1.0833461
304,1.0764954
305,1.0808735
306,1.0803845
307,1.0957065
308,1.1045743
309,1.0896767
310,1.0906701
311,1.0996144
312,1.079191
313,1.0799849
314,1.080227
315,1.0751936
316,1.0660623
317,1.1038064
318,1.0745577
319,1.0778801
320,1.0880314
321,1.0806
322,1.1078743
323,1.0726144
324,1.0848199
325,1.1032187
326,1.0764468
327,1.103723
328,1.0874729
329,1.1014388
330,1.0888131
331,1.0902115
332,1.0846438
333,1.0859164
334,1.07865
335,1.0768938
336,1.0918242
337,1.0872455
338,1.0898341
339,1.0858954
340,1.0874997
341,1.0881052
342,1.0935966
343,1.0880715
344,1.0820681
345,1.0867342
346,1.0996599
347,1.087852
348,1.0845158
349,1.0812281
350,1.0905333
351,1.0703428
352,1.1041664
353,1.0794114
354,1.0845569
355,1.0820707
356,1.0907538
357,1.0843757
358,1.0906855
359,1.0869911
360,1.0862646
361,1.0752175
362,1.0814551
363,1.0767299
364,1.0980918
365,1.0885423
366,1.0911732
367,1.0950164
368,1.0845611
369,1.0803027
370,1.0825332
371,1.0726626
372,1.0777853
373,1.0842376
374,1.0878404
375,1.0851271
376,1.0756764
377,1.086986
378,1.0824096
379,1.0769367
380,1.0985732
381,1.0848454
382,1.0865387
383,1.072543
384,1.0875398
385,1.095587
386,1.1010716
387,1.0788395
388,1.0791394
389,1.075498
390,1.074724
391,1.0843602
392,1.0991175
393,1.0959632
394,1.0988735
395,1.0777918
396,1.0800378
397,1.0810239
398,1.0824723
399,1.0882262
400,1.0879585
401,1.0860232
402,1.0733964
403,1.0926554
404,1.0741369
405,1.0876492
406,1.0843734
407,1.0839907
408,1.1063541
409,1.0875448
410,1.0885297
411,1.082446
412,1.0833386
413,1.0993634
414,1.1103941
415,1.0851753
416,1.0938106
417,1.0872442
418,1.1100731
419,1.0787972
420,1.079957
421,1.0824827
422,1.0908306
423,1.0861609
424,1.088173
425,1.0876989
426,1.0891204
427,1.0874877
428,1.0846909
429,1.0829964
430,1.0843623
431,1.0927895
432,1.0922822
433,1.0724536
434,1.0952741
435,1.1023673
436,1.10285
437,1.0910347
438,1.092996
439,1.1014203
440,1.0775175
441,1.0869321
442,1.0971243
443,1.084238
444,1.0837873
445,1.0979196
446,1.0966797
447,1.0865632
448,1.095633
449,1.0902082
450,1.0931878
451,1.0912273
452,1.0873966
453,1.0875319
454,1.0811714
455,1.0937153
456,1.105402
457,1.0846875
458,1.1003715
459,1.1021006
460,1.0840712
461,1.092215
462,1.0936921
463,1.0986018
464,1.0866673
465,1.106792
466,1.0937017
467,1.0955381
468,1.0908725
469,1.0999812
470,1.094578
471,1.1071196
472,1.1056243
473,1.0910717
474,1.0945104
475,1.0867529
476,1.0837084
477,1.1002749
478,1.098709
479,1.0910784
480,1.0785959
481,1.0944029
482,1.0950353
483,1.104639
484,1.1138263
485,1.0941017
486,1.1121593
487,1.103044
488,1.0974878
489,1.0968525
490,1.1059076
491,1.094759
492,1.1051091
493,1.1104032
494,1.0898482
495,1.0979513
496,1.0999175
497,1.0966045
498,1.0889865
499,1.1058196
